,Country,Beer_Servings,Spirit_Servings,Wine_Servings,Total_L_Pure_Alcohol,Life_Expectancy (LED),Adult_Mortality,BMI,GDP,Population,HDI,Schooling,Region,Happiness_Score,GDP,Social_Support,Life_Expectancy (Happiness),Freedom_Score,Generosity,Corruption_Score,Happiness (Dystopia)
87,Jamaica,82.0,97.0,9.0,3.4,76.2,125.0,54.2,4965.9898570000005,2871934.0,0.7290000000000001,12.8,Latin America and Caribbean,5.889800072000001,9.006250381000001,0.9157018659999999,67.09999847,0.8580685259999999,-0.12510676699999998,0.8888900279999999,1.9723167419999998
88,Japan,77.0,202.0,16.0,7.0,83.7,55.0,29.0,34474.13736,127141.0,0.902,15.3,East Asia,5.870800018,10.57968903,0.883545935,75.00096893,0.8099613790000001,-0.24691034899999997,0.654558063,1.9723167419999998
89,Jordan,6.0,21.0,1.0,0.5,74.1,112.0,65.6,496.99275,915932.0,0.741,13.1,Middle East and North Africa,4.6333999630000005,9.025999069,0.80216372,66.79975128,0.75104779,-0.162565202,0.700344324,1.9723167419999998
90,Kazakhstan,124.0,246.0,12.0,6.8,72.0,198.0,53.1,159.9817,17544126.0,0.7929999999999999,15.0,Commonwealth of Independent States,6.0578999520000005,10.11465836,0.934744895,64.60996246,0.811601937,-0.068488635,0.7644908429999999,1.9723167419999998
91,Kenya,58.0,22.0,2.0,1.8,63.4,249.0,22.0,1349.97144,47236259.0,0.55,11.1,Sub-Saharan Africa,4.583000183,8.02977562,0.702652037,60.09693146,0.829747558,0.294681519,0.831499159,1.9723167419999998
92,Kiribati,21.0,34.0,1.0,1.0,66.3,198.0,77.6,1424.4836109999999,11247.0,0.586,11.9,,,,,,,,,
93,Kuwait,0.0,0.0,0.0,0.0,74.7,81.0,71.4,28975.417999999998,,0.799,13.3,Middle East and North Africa,6.102099895,11.08982468,0.8464752440000001,66.76764679,0.8723664879999999,-0.100184701,0.7608490590000001,1.9723167419999998
94,Kyrgyzstan,31.0,97.0,6.0,2.4,71.1,166.0,44.9,,,0.662,13.0,Commonwealth of Independent States,5.541500092000001,8.148405075,0.8872284890000001,64.10601044,0.909374893,0.15477205800000002,0.888396084,1.9723167419999998
95,Laos,62.0,0.0,123.0,6.2,65.7,194.0,21.7,,,0.5820000000000001,10.8,Southeast Asia,4.888599873,8.79858017,0.7375022170000001,58.70992279,0.907213569,0.11137148,0.634679317,1.9723167419999998
96,Latvia,281.0,216.0,62.0,10.5,74.6,153.0,61.2,13666.583359999999,1977527.0,0.828,16.0,Central and Eastern Europe,5.9499998089999995,10.17531967,0.9182885890000001,66.8074646,0.671237648,-0.186888844,0.7955800890000001,1.9723167419999998
97,Lebanon,20.0,55.0,31.0,1.9,74.9,98.0,66.1,846.632851,5851479.0,0.763,13.3,Middle East and North Africa,4.771500111,9.3617239,0.824338138,67.10658264,0.5513575079999999,-0.06121527,0.90225625,1.9723167419999998
98,Lesotho,82.0,29.0,0.0,2.8,53.7,484.0,32.6,173.82893,2174645.0,0.495,10.7,Sub-Saharan Africa,3.6528000830000003,7.9604883189999995,0.7804957029999999,48.00362396,0.738125861,-0.145732045,0.857392073,1.9723167419999998
99,Liberia,19.0,152.0,2.0,3.1,61.4,259.0,27.3,452.38717,4499621.0,0.42700000000000005,9.9,Sub-Saharan Africa,4.557899952,7.054380417000001,0.70928055,56.09631348,0.735268712,0.04227322,0.8563759329999999,1.9723167419999998
100,Libya,0.0,0.0,0.0,0.0,72.7,138.0,64.8,,,0.7190000000000001,13.4,Middle East and North Africa,5.488800049,9.789815903,0.8259429340000001,62.29999924,0.773157001,-0.085054487,0.668779135,1.9723167419999998
101,Lithuania,343.0,244.0,56.0,12.9,73.6,165.0,62.4,14252.428530000001,29491.0,0.846,16.5,Central and Eastern Europe,6.215499877999999,10.34362602,0.926107109,67.29407501,0.747381449,-0.21972529600000001,0.809583843,1.9723167419999998
102,Luxembourg,236.0,133.0,271.0,11.4,82.0,63.0,61.3,1199.8223,56964.0,0.8959999999999999,13.9,Western Europe,7.2375001910000005,11.45068073,0.9069122079999999,72.59999847,0.90563643,-0.004620588,0.367084295,1.9723167419999998
103,Madagascar,26.0,15.0,4.0,0.8,65.5,22.0,2.5,41.8575951,2423488.0,0.511,10.3,Sub-Saharan Africa,4.165599823,7.281685829,0.668195903,59.10542679,0.5575740929999999,-0.011823638999999999,0.8174856309999999,1.9723167419999998
104,Malawi,8.0,11.0,1.0,1.5,58.3,365.0,19.6,362.65754439999995,1757367.0,0.473,10.8,Sub-Saharan Africa,3.538000107,7.062226295,0.544007301,57.59288788,0.803223193,0.021433279,0.731700778,1.9723167419999998
105,Malaysia,13.0,4.0,0.0,0.3,75.0,123.0,4.6,9643.644683,3723155.0,0.787,13.1,Southeast Asia,5.384300232,10.26251888,0.816509426,67.10215759,0.8946268559999999,0.11472679699999999,0.8393023009999999,1.9723167419999998
106,Maldives,0.0,0.0,0.0,0.0,78.5,61.0,27.4,8395.785198,49163.0,0.701,12.7,South Asia,5.197599888,9.518632889,0.91316092,70.59999847,0.8539627790000001,0.038085497999999995,0.824211061,1.9723167419999998
107,Mali,5.0,1.0,1.0,0.6,58.2,266.0,23.8,729.725338,1746795.0,0.43799999999999994,8.4,Sub-Saharan Africa,4.729300021999999,7.629852295,0.7314689759999999,51.72698212,0.71156615,-0.044366925999999994,0.839328408,1.9723167419999998
108,Malta,149.0,100.0,120.0,6.6,81.7,54.0,69.6,23819.4636,431874.0,0.853,14.6,Western Europe,6.772799968999999,10.53383827,0.93037951,72.19999695,0.9249114390000001,0.214965805,0.658547282,1.9723167419999998
109,Marshall Islands,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
110,Mauritania,0.0,0.0,0.0,0.0,63.1,25.0,3.8,1158.256469,4182341.0,0.513,8.5,Sub-Saharan Africa,4.374599934,8.233919144,0.7908192279999999,57.01017761,0.551522553,-0.10600814199999999,0.746223509,1.9723167419999998
111,Mauritius,98.0,31.0,18.0,2.6,74.6,146.0,33.3,9252.117240000001,126265.0,0.779,15.2,Sub-Saharan Africa,6.101299762999999,9.956786156,0.910357833,66.40434265,0.889534533,-0.018318573,0.8053430909999999,1.9723167419999998
112,Mexico,238.0,68.0,5.0,5.5,76.7,122.0,63.5,9143.128494,12589949.0,0.758,13.3,Latin America and Caribbean,6.465000152999999,9.797797203,0.8386654259999999,68.29902649,0.8587092759999999,-0.175266623,0.806821585,1.9723167419999998
113,Micronesia,62.0,50.0,18.0,2.3,69.4,166.0,69.4,,,0.637,11.7,,,,,,,,,
114,Monaco,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
115,Mongolia,77.0,189.0,8.0,4.9,68.8,222.0,52.7,3944.1839,2976877.0,0.733,14.8,East Asia,5.4562001229999995,9.412186623,0.9371424909999999,62.30448532,0.693351328,0.09809386699999999,0.863511205,1.9723167419999998
116,Montenegro,31.0,114.0,128.0,4.9,76.1,16.0,61.8,6461.192554,622159.0,0.804,15.1,Central and Eastern Europe,5.54610014,9.751860619,0.855314612,68.50534821,0.649565637,-0.075600356,0.7831215859999999,1.9723167419999998
117,Morocco,12.0,6.0,10.0,0.5,74.3,95.0,58.5,2847.285569,3483322.0,0.645,12.1,Middle East and North Africa,5.094799995,8.940313339,0.5926284789999999,65.89624023,0.772072434,-0.240377247,0.8157246109999999,1.9723167419999998
118,Mozambique,47.0,18.0,5.0,1.3,57.6,355.0,22.6,528.3125597,281691.0,0.414,9.1,Sub-Saharan Africa,4.623600006,7.069345951,0.723874032,54.20582199,0.864451885,0.032375867999999995,0.683019102,1.9723167419999998
