,Country,Happiness_Score,GDP,Social_Support,Life_Expectancy (Happiness),Freedom_Score,Generosity,Corruption_Score,Happiness (Dystopia),Beer_Servings,Spirit_Servings,Wine_Servings,Total_L_Pure_Alcohol,Life_Expectancy (LED),Adult_Mortality,infantdeaths,GDP_Health_Gov_Expenditure (%),HepatitisB,Measles,BMI,under-fivedeaths,Polio,Diphtheria,HIV/AIDS,GDP,Population,thinness1-19years,thinness5-9years,HDI,Schooling
54,Argentina,5.974699974,9.810955048,0.900567949,68.80380249,0.831132412,-0.194913864,0.8420098420000001,1.9723167419999998,193.0,25.0,221.0,8.3,76.3,116.0,8.0,0.0,94.0,0.0,62.8,9.0,93.0,94.0,0.1,13467.1236,43417765.0,1.0,0.9,0.826,17.3
55,Honduras,5.953199862999999,8.424534798,0.821870148,67.19876862,0.870603263,0.086969115,0.801131904,1.9723167419999998,69.0,98.0,2.0,3.0,74.6,147.0,3.0,0.0,97.0,0.0,51.0,4.0,97.0,97.0,0.3,2326.1585600000003,896829.0,2.1,2.1,0.623,11.2
56,Latvia,5.9499998089999995,10.17531967,0.9182885890000001,66.8074646,0.671237648,-0.186888844,0.7955800890000001,1.9723167419999998,281.0,216.0,62.0,10.5,74.6,153.0,0.0,0.0,94.0,0.0,61.2,0.0,95.0,95.0,0.1,13666.583359999999,1977527.0,2.2,2.1,0.828,16.0
57,Ecuador,5.925199986,9.246058463999999,0.836418986,68.50003815,0.8598289490000001,-0.127014965,0.8012151120000001,1.9723167419999998,162.0,74.0,3.0,4.2,76.2,118.0,6.0,0.0,78.0,0.0,54.2,7.0,84.0,78.0,0.1,625.62224,16144368.0,1.2,1.1,0.7390000000000001,14.0
58,Portugal,5.9109001160000005,10.26374245,0.8865907190000001,72.40202332,0.8887478109999999,-0.220714301,0.8926295040000001,1.9723167419999998,194.0,67.0,339.0,11.0,81.1,76.0,0.0,0.0,98.0,8.0,61.6,0.0,98.0,98.0,0.1,1922.681,135876.0,0.7,0.5,0.841,16.6
59,Jamaica,5.889800072000001,9.006250381000001,0.9157018659999999,67.09999847,0.8580685259999999,-0.12510676699999998,0.8888900279999999,1.9723167419999998,82.0,97.0,9.0,3.4,76.2,125.0,1.0,0.0,91.0,0.0,54.2,1.0,91.0,91.0,0.5,4965.9898570000005,2871934.0,1.8,1.7,0.7290000000000001,12.8
60,South Korea,5.872399807000001,10.51056671,0.7993871570000001,73.60272979999999,0.6129651070000001,-0.043404032,0.789067447,1.9723167419999998,140.0,16.0,9.0,9.8,82.3,64.0,1.0,0.0,98.0,7.0,31.7,2.0,98.0,98.0,0.1,7343.770473535714,12796652.364,1.5,1.0,0.6994604316546762,13.14820143884892
61,Japan,5.870800018,10.57968903,0.883545935,75.00096893,0.8099613790000001,-0.24691034899999997,0.654558063,1.9723167419999998,77.0,202.0,16.0,7.0,83.7,55.0,2.0,0.0,80.9051094890511,35.0,29.0,3.0,99.0,96.0,0.1,34474.13736,127141.0,2.1,1.8,0.902,15.3
62,Peru,5.796800137000001,9.456313133,0.8310752509999999,68.10023499,0.8247660990000001,-0.16238822,0.8937149640000001,1.9723167419999998,163.0,160.0,21.0,6.1,75.5,123.0,8.0,0.0,9.0,4.0,55.6,10.0,88.0,9.0,0.1,63.343258999999996,31376671.0,1.1,1.1,0.737,13.4
63,Serbia,5.77820015,9.680980682000001,0.881475747,68.21020508,0.726495862,-0.073676221,0.843509018,1.9723167419999998,283.0,131.0,127.0,9.6,75.6,121.0,1.0,0.0,94.0,383.0,6.0,1.0,95.0,95.0,0.1,5237.255334,795383.0,2.0,2.0,0.775,14.4
64,Bolivia,5.747499942999999,8.851115227000001,0.803108692,63.6004715,0.875873327,-0.09168113,0.8226062059999999,1.9723167419999998,167.0,41.0,8.0,3.8,77.0,186.0,8.0,0.0,99.0,0.0,52.6,10.0,99.0,99.0,0.1,7343.770473535714,12796652.364,1.2,1.1,0.6709999999999999,13.8
65,Pakistan,5.69329977,8.482727051,0.689062297,58.25313568,0.734833717,0.04489987,0.7457054259999999,1.9723167419999998,0.0,0.0,0.0,0.0,66.4,161.0,352.0,0.0,72.0,386.0,25.4,433.0,72.0,72.0,0.1,1431.2448650000001,18938513.0,19.2,19.6,0.5479999999999999,8.1
66,Paraguay,5.6921000479999995,9.389982224,0.8987278940000001,65.63993835,0.885923445,0.007997713,0.8347885009999999,1.9723167419999998,213.0,117.0,74.0,7.3,74.0,146.0,2.0,0.0,93.0,0.0,5.2,3.0,89.0,93.0,0.2,419.367724,6639119.0,2.0,1.9,0.6920000000000001,12.3
67,Dominican Republic,5.6891999239999995,9.664880753,0.882085383,65.80748749,0.8662027720000001,-0.131263286,0.755999923,1.9723167419999998,193.0,147.0,9.0,6.2,73.9,152.0,6.0,0.0,81.0,0.0,58.9,7.0,87.0,85.0,0.3,6468.471648,1528394.0,3.3,3.2,0.718,13.2
68,Bosnia-Herzegovina,5.674099922000001,9.455817223,0.829204142,67.80813599,0.651352704,0.098274559,0.933769107,1.9723167419999998,76.0,173.0,8.0,4.6,77.4,88.0,0.0,0.0,82.0,1677.0,55.8,0.0,74.0,82.0,0.1,4574.9787,3535961.0,2.3,2.3,0.747,14.2
69,Moldova,5.607500076,8.776714325,0.843313575,65.01301575,0.721609175,-0.037741039,0.913314283,1.9723167419999998,109.0,226.0,18.0,6.3,72.1,157.0,1.0,0.0,88.0,0.0,53.4,1.0,88.0,87.0,0.1,7343.770473535714,12796652.364,2.7,2.8,0.6994604316546762,13.14820143884892
70,Tajikistan,5.555699825,8.024810791,0.835297108,64.10459137,0.831383407,-0.025088511,0.5920760629999999,1.9723167419999998,2.0,15.0,0.0,0.3,69.7,161.0,10.0,0.0,96.0,3.0,4.7,11.0,96.0,96.0,0.2,918.6771543,8548651.0,3.6,3.7,0.625,11.3
71,Montenegro,5.54610014,9.751860619,0.855314612,68.50534821,0.649565637,-0.075600356,0.7831215859999999,1.9723167419999998,31.0,114.0,128.0,4.9,76.1,16.0,0.0,0.0,82.0,0.0,61.8,0.0,89.0,89.0,0.1,6461.192554,622159.0,1.8,1.8,0.804,15.1
72,Russia,5.546000004,10.12887192,0.903150737,64.10045624,0.729892612,-0.151153743,0.864802599,1.9723167419999998,247.0,326.0,73.0,11.5,75.0,222.0,13.0,0.0,97.0,843.0,6.5,15.0,97.0,97.0,0.1,9329.298351000001,1449687.0,2.3,2.3,0.805,15.0
